text,entity,score,date,annotator_comment,general_location,specific_location,year,season,month,day,Coordinates
"A drift was cut on the Ballater to Braemar road at one place, where it was found that a horse's ears were on a level with the top of the cutting.",snow,7.0,Winter 1916,,Cairngorms Western Massif,Upper Deeside,1916.0,Winter,,,"(57.066582, -3.732339)"
The moors are covered with snow depth of several feet.,snow,8.0,Winter 1916,,Cairngorms Western Massif,Upper Deeside,1916.0,Winter,,,"(57.066582, -3.732339)"
"A special correspondent, in an article in the Aberdeen Daily Journal of 25th March, wrote:— ""It is quite an Alpine scene which meets the eye of the traveller on a journey from Ballater justify Byron's description of 'dark,' for even the 'Black Spout' is a white one for the nonce, filled in great measure, as it and the other 'spouts' are, with very deep wreaths of snow.",snow,9.0,Winter 1916,,Lochnagar,Lochnagar,1916.0,Winter,,,"(56.954291, -3.244078)"
"Several of the roads in the district have been blocked for weeks, the snowdrifts in certain places being as deep as from nine to ten feet.","snow, snowdrift",8.0,Winter 1916,,Cairngorms Western Massif,Upper Deeside,1916.0,Winter,,,"(57.066582, -3.732339)"
"many being found dead, practically smothered in the snow-drifts",snow-drifts,2.0,Winter 1916,,Cairngorms Western Massif,Upper Deeside,1916.0,Winter,,,"(57.066582, -3.732339)"
the snowdrifts in certain places being as deep as from nine to ten feet,snowdrifts,9.0,Winter 1916,,Cairngorms Western Massif,Upper Deeside,1916.0,Winter,,,"(57.066582, -3.732339)"
"the fine lineaments of the great mountain are seen to the best advantage. The view is not even surpassed by the remarkably fine view obtained as, after swinging round Glen Gairn at Rinloan, the North Deeside road—a view on which a friend is wont to expatiate. It seems strange that the standard picture should confine itself to the snow-clad spouts above the tarn of the east when such visions of extensive grandeur as indicated are to be had.","snow, snow-clad",8.0,-/07/1917,,Lochnagar,Lochnagar,1917.0,,7.0,,"(56.954291, -3.244078)"
"Braeriach white, with a sprinkling of new snow, as if consoling one by the reflection that bad weather in the Cairngorms is not altogether an accident.","new, snow",8.0,-/08/1918,,Cairngorms Western Massif,Braeriach,1918.0,,8.0,,"(57.066582, -3.732339)"
"the rain was now exchanged for sleet, with some hail and snow.","sleet, snow",5.0,-/08/1918,,Cairngorms Western Massif,Braeriach,1918.0,,8.0,,"(57.066582, -3.732339)"
"we noticed several snow patches in the Fuar Garbh Choire, the largest of which might be 250 square yards in area.","snow, patch",6.0,-/08/1918,,Cairngorms Western Massif,Braeriach,1918.0,,8.0,,"(57.066582, -3.732339)"
"Cairngorm itself was white with snow, and a gale of wind and wet was blowing up the glen.","snow, gale",8.0,-/10/1918,,Cairngorms Other,Cairngorm,1918.0,,10.0,,"(57.09969, -3.6656)"
"Occasionally the spindrift from the hillsides and pools came driving towards us in great white clouds like snowdrift and fairly blinded us, making progress impossible.","snowdrift, spindrift",4.0,-/10/1918,,Cairngorms Western Massif,Lairig Ghru,1918.0,,10.0,,"(57.066582, -3.732339)"
"the snowy tops of the Ochils in the west showed up hard and clear, so that, after ascending the snow-clad slopes to the summit,","snowy, snow-clad",9.0,-/01/1919,,Southern Highlands,Ochils,1919.0,,1.0,,"(56.356399, -4.577326)"
"the mountain, which was in a highly dangerous state owing to ice and snow.","ice, snow",3.0,09/02/1919,,Ben Nevis,Ben Nevis,1919.0,,2.0,9.0,"(56.796735, -5.002927)"
which was in a highly dangerous state owing to ice and snow.,"ice, snow",2.0,09/02/1919,,Ben Nevis,Ben Nevis,1919.0,,2.0,9.0,"(56.796735, -5.002927)"
"to negotiate a snow-slide, lost his footing, and was immediately hurled down the slope.",snow,4.0,09/02/1919,,Ben Nevis,Ben Nevis,1919.0,,2.0,9.0,"(56.796735, -5.002927)"
the cliffs were so heavily corniced and the gullies so thickly banked up with snow,"cornice, snow",8.0,-/05/1919,,Lochnagar,Lochnagar,1919.0,,5.0,,"(56.954291, -3.244078)"
the cliffs were so heavily corniced and the gullies so thickly banked up with snow that it was difficult to make out which were the main gullies and which were the subsidiary ones.,"corniced, snow",8.0,-/05/1919,,Lochnagar,Lochnagar,1919.0,,5.0,,"(56.954291, -3.244078)"
"eventually we found the Black Spout itself, easily recognised by its size although otherwise unrecognisable with its huge drift of snow.","drift, snow",9.0,-/05/1919,,Lochnagar,Lochnagar,1919.0,,5.0,,"(56.954291, -3.244078)"
"the mist and driving snow were so dense that it was almost impossible to keep a straight line for any distance, even with a compass.","driving, snow",6.0,-/05/1919,,Lochnagar,Lochnagar,1919.0,,5.0,,"(56.954291, -3.244078)"
"Driving particles of ice and snow made difficult to see, and we were buffeted about a good deal.","ice, snow",5.0,-/05/1919,,Lochnagar,Lochnagar,1919.0,,5.0,,"(56.954291, -3.244078)"
"only here and there could we detect any trace of them, so quickly had they been filled with snow.",snow,4.0,-/05/1919,,Lochnagar,Lochnagar,1919.0,,5.0,,"(56.954291, -3.244078)"
"footprints were seen here and there on the snow, evidently only an hour or two old.",snow,7.0,-/05/1919,,Lochnagar,Lochnagar,1919.0,,5.0,,"(56.954291, -3.244078)"
"the ground was covered with snow, hard in places, remarkably soft in others.",snow,5.0,-/05/1919,,Lochnagar,Lochnagar,1919.0,,5.0,,"(56.954291, -3.244078)"
the ground being fairly well swept of snow.,snow,6.0,-/05/1919,,Lochnagar,Lochnagar,1919.0,,5.0,,"(56.954291, -3.244078)"
"Behind all this towered the great mass of mountains of which Ben Alder is the chief, with their corries and glens, ridges and lochans and snow patches.",snow,5.0,14/06/1919,,Central Highlands,Ben Alder,1919.0,,6.0,14.0,"(56.949668, -4.608764)"
"...every snow patch had its quota, and the fine little glen behind the Sow was full of them.",snow,6.0,14/06/1919,,Central Highlands,Sow of  Atholl,1919.0,,6.0,14.0,"(56.949668, -4.608764)"
"there were tremendous cornices of snow crowning the precipitous east face, but under the conditions we dared not approach them too closely,","cornices, snow",6.0,-/06/1919,,Ben Nevis,Aonach Beag,1919.0,,6.0,,"(56.796735, -5.002927)"
"we pressed on, however, over great beds of old snow, and up the short rise to the summit level, where we found a good three inches of fresh snow;","old snow, fresh snow",8.0,-/06/1919,,Ben Nevis,Aonach Beag,1919.0,,6.0,,"(56.796735, -5.002927)"
the air was thick with snow flakes.,snow,7.0,-/06/1919,,Ben Nevis,Aonach Beag,1919.0,,6.0,,"(56.796735, -5.002927)"
"...the whole of the Cairngorms were visible, from the Sgorans to Beinn à Bhuird and Ben Avon; Braeriach and Ben Muich Dhui streaked with snow.",snow,8.0,08/07/1919,,Cairngorms Western Massif,"Braeriach, Ben Macdui",1919.0,,7.0,8.0,"(57.066582, -3.732339)"
Braeriach and Ben Muich Dhui streaked with snow.,snow,8.0,08/07/1919,,Cairngorms Western Massif,"Braeriach, Ben Macdui",1919.0,,7.0,8.0,"(57.066582, -3.732339)"
"there was still some snow on Ben More and Ben Lui, a few small patches in the upper corries of Bidean and Stob Coire an Lochan, and a fair amount on Ben Nevis.","snow, patches",6.0,-/07/1919,,Ben Nevis,"Ben More, Ben Lui, Ben Nevis",1919.0,,7.0,,"(56.796735, -5.002927)"
"Of course, they all carried a great deal of snow.",snow,8.0,Spring 1919,,Cairngorms Other,Cairngorms,1919.0,Spring,,,"(57.09969, -3.6656)"
"On  the  lower  slopes  of  the  hill  a  fair  depth  of  snow  was  met  with, but  the  older  snow  and  that  above  the  2,000  feet  level  was  sufficiently  hard  to  support  the  climber's  weight.","depth, older, hard",7.0,-/01/1920,,Eastern Highlands,Morrone,1920.0,,1.0,,"(57.194888, -3.281276)"
A  very  pretty  snow  cornice  was  discovered  near  the  top  of  the  gully.,"pretty, snow, cornice",8.0,-/01/1920,,Eastern Highlands,Morrone,1920.0,,1.0,,"(57.194888, -3.281276)"
The  snow  scenery  amongst  the  trees  near  the  base  of  the  hill  was  greatly  admired.,snow,9.0,-/01/1920,,Beinn an Dothaidh,Braemar,1920.0,,1.0,,
A very pretty snow cornice was discovered near the top of the gully.,"snow, cornice",8.0,-/01/1920,,Eastern Highlands,Morrone,1920.0,,1.0,,"(57.194888, -3.281276)"
"The  snow  on  Morrone  was  hardly  deep  enough  for  serious  ski-ing, but  much  practice  was  obtained  on  sloping  fields,  for  the  most  part  at  the  base  of  that  hill.","snow, deep",4.0,-/01/1920,,Eastern Highlands,Morrone,1920.0,,1.0,,"(57.194888, -3.281276)"
"Owing to the shortness of the day and the depth of snow in the glens and on the foothills, expeditions to the more distant tops were not attempted.","snow, depth",5.0,-/01/1920,,Cairngorms Other,Braemar,1920.0,,1.0,,"(57.09969, -3.6656)"
"the snow on the road increased in depth towards Braemar, at which there were some six inches on the level.","snow, depth",7.0,-/01/1920,,Cairngorms Other,Braemar,1920.0,,1.0,,"(57.09969, -3.6656)"
"On the lower slopes of the hill a fair depth of snow was met with, but the older snow and that above the 2,000 feet level was sufficiently hard to support the climber's weight.","snow, depth, hard",6.0,-/01/1920,,Eastern Highlands,Morrone,1920.0,,1.0,,"(57.194888, -3.281276)"
"Finding it almost impossible to stand against the wind and snow on the summit of Meall Coire na Saobhaidhe (3191 ft), they decided further progress towards Lochnagar was inadvisable.","snow, wind",3.0,-/01/1920,,Lochnagar,Lochnagar,1920.0,,1.0,,"(56.954291, -3.244078)"
"The  descent  was  made  into  the  corrie  with  the  two  lochans  to  the  north  of  Stob  Garbh,  and  some  good  glissading  was  obtained  on  the  way  down.",glissading,8.0,-/04/1920,,Ben Lui,Ben Lui,1920.0,,4.0,,"(56.396993, -4.810804)"
the  younger  members  of  the  party  re-climbed  the  snow  and  had  the  exhilarating  rush  all  over  again.,snow,9.0,-/04/1920,,Ben Lui,Ben Lui,1920.0,,4.0,,"(56.396993, -4.810804)"
"The  snow  in  the  right  gully  was  in good  condition, and  a  fine climb  was  experienced.","snow, good",8.0,-/04/1920,,Southern Highlands,Cruach Ardrain,1920.0,,4.0,,"(56.356399, -4.577326)"
"Near  the  top  of  the  corrie  the  snow  was  very  hard, and  the  angle  steepened  to  65  degrees  as  measured  by  the  clinometer.","snow, hard",7.0,-/04/1920,,Ben Lui,Ben Lui,1920.0,,4.0,,"(56.396993, -4.810804)"
"At the top, just beneath the rim of the plateau, there were some fine cornice effects.",cornice,8.0,-/07/1920,,Cairngorms Western Massif,Braeriach,1920.0,,7.0,,"(57.066582, -3.732339)"
there were some fine cornice effects.,cornice,7.0,-/07/1920,,Cairngorms Western Massif,Braeriach,1920.0,,7.0,,"(57.066582, -3.732339)"
"there was a large drift above Corrie Lochan on Braeriach, with several smaller drifts in some other western corries.",drift,8.0,-/07/1920,,Cairngorms Western Massif,Braeriach,1920.0,,7.0,,"(57.066582, -3.732339)"
"one or two small drifts on the Sron na Leirg slopes, and a quite respectable bed on Ben Muich Dhui, above the waterfall over the Pools of Dee.","drift, bed",8.0,-/07/1920,,Ben Macdui,Ben Macdui,1920.0,,7.0,,"(57.070696, -3.667715)"
"There was a fairly large patch of snow on the screes above there,",patch of snow,6.0,-/07/1920,,Cairngorms Western Massif,Braeriach,1920.0,,7.0,,"(57.066582, -3.732339)"
One could certainly walk over snow for at least a quarter of a mile up here.,snow,8.0,-/07/1920,,Cairngorms Western Massif,Braeriach,1920.0,,7.0,,"(57.066582, -3.732339)"
...showed fine caverns and snow bridges.,snow,7.0,-/07/1920,,Cairngorms Western Massif,Braeriach,1920.0,,7.0,,"(57.066582, -3.732339)"
There was very little snow in Glencoe—only a few small patches in the upper corries of Bidean nan Bian.,"snow, patches",4.0,-/07/1920,,Central Highlands,Bidean nam Bian,1920.0,,7.0,,"(56.949668, -4.608764)"
"when I entered the Fuar Garbhchoire the Dee waterfall was lost in a white blur. In fact, it became so thick soon that nothing was visible but the snow-field, which almost filled the Corrie.",snow-field,9.0,-/07/1920,,Cairngorms Western Massif,Braeriach,1920.0,,7.0,,"(57.066582, -3.732339)"
the conspicuous snow-field above Corrie Lochan.,snow-field,8.0,-/07/1920,,Cairngorms Western Massif,Braeriach,1920.0,,7.0,,"(57.066582, -3.732339)"
ridge upon ridge of dark mountains capped with snow.,"capped, snow",8.0,Spring 1920,,Central Highlands,Beinn an Dothaidh,1920.0,Spring,,,"(56.949668, -4.608764)"
"we entered the snow line about 2,500 feet, and the rest of the way was rendered stiff by about a foot of fresh snow lying on the top of the other older snow.","fresh, snow",9.0,Spring 1920,,Ben Nevis,Ben Nevis,1920.0,Spring,,,"(56.796735, -5.002927)"
"At 2,700 feet the ropes were put on. This was a new experience for my chum and myself, neither of us having been on snow before.",snow,8.0,Spring 1920,,Ben Lui,Ben Lui,1920.0,Spring,,,"(56.396993, -4.810804)"
"The angle of the snow at the top was 66°. This was not inconvenient to stand on if big steps were cut, but it was considerably inconvenient to the second and third men, as all the snow and ice cut from the steps fell in fine showers on them.","snow, ice",6.0,Spring 1920,,Ben Lui,Ben Lui,1920.0,Spring,,,"(56.396993, -4.810804)"
There was very little snow and what there was was soft.,"snow, soft",2.0,Spring 1920,,Central Highlands,Beinn an Dothaidh,1920.0,Spring,,,"(56.949668, -4.608764)"
"These showed snowfields almost equal to Ben Lui, capped by enormous cornices.","snowfields, cornices",8.0,Spring 1920,,Central Highlands,Beinn an Dothaidh,1920.0,Spring,,,"(56.949668, -4.608764)"
"running down snow-banks, or",snow,7.0,02/01/1921,,Ben Macdui,Ben Macdui,1921.0,,1.0,2.0,"(57.070696, -3.667715)"
"Our way now led us over a snow-and-ice-field, we were in a world of white—white above, below, and around us, broken only by the softened rays of a bulging ball of fire in the sky.","snow, ice",9.0,02/01/1921,,Ben Macdui,Ben Macdui,1921.0,,1.0,2.0,"(57.070696, -3.667715)"
"T he   L o c h n a g ar   party  a s c e n d ed   by  t he   Black  Spout,  which  was  in  only  fair  condition,  the  snow  b e i ng   r a t h er   soft.","fair, snow, soft",4.0,25/03/1921,,Lochnagar,Lochnagar,1921.0,,3.0,25.0,"(56.954291, -3.244078)"
"T he   Loch  K a n d er   party  found  much  less  snow  t h an   usual  in  t he   corrie,  b ut  obtained  a  climb  in  one  of  t he   gullies.","less, snow",3.0,25/03/1921,,Cairngorms Other,Coire Loch Kander,1921.0,,3.0,25.0,"(57.09969, -3.6656)"
the snow being rather soft.,"soft, snow",4.0,25/03/1921,,Lochnagar,Lochnagar,1921.0,,3.0,25.0,"(56.954291, -3.244078)"
"Numerous ice-sheets were found on the plateau and the cold was intense, so much so that icicles were found on moustaches, and eyebrows were white.",ice,8.0,26/03/1921,,Ben Macdui,Ben Macdui,1921.0,,3.0,26.0,"(57.070696, -3.667715)"
"Snow fell gently most of the time during the ascent, although, later on, there were glimpses of sunshine.",snow,7.0,26/03/1921,,Ben Macdui,Ben Macdui,1921.0,,3.0,26.0,"(57.070696, -3.667715)"
"At 3,000 feet the ground was becoming frost-bound, and soon the snow became thicker while the wind rose, with the result that visibility diminished considerably.","thicker, snow",6.0,26/03/1921,,Ben Macdui,Ben Macdui,1921.0,,3.0,26.0,"(57.070696, -3.667715)"
the corrie on the Glas Maol with its' fresh snow was greatly admired from the cairn.,"fresh, snow",8.0,27/03/1921,,Lochnagar,Glas Maol,1921.0,,3.0,27.0,"(56.954291, -3.244078)"
"the snow which had fallen on the previous day was melting rapidly, with the result that conditions for walking were wet and disagreeable.","melting, snow",2.0,27/03/1921,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1921.0,,3.0,27.0,"(57.081248, -3.505238)"
the snow had now turned into slush and the path from the corrie by the east bank of the Quoich was sopping.,"slush, snow",1.0,27/03/1921,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1921.0,,3.0,27.0,"(57.081248, -3.505238)"
"when of snow showers were experienced, with","snow, showers",4.0,02/05/1921,,Eastern Highlands,Bennachie,1921.0,,5.0,2.0,"(57.194888, -3.281276)"
one small patch of snow still lingering among the rocks,"patch, snow",4.0,21/06/1921,,Central Highlands,Beinn a'Creachain,1921.0,,6.0,21.0,"(56.949668, -4.608764)"
"the ""Ben"" only showed a spot or two of snow, far more being seen on Aonach Beag.",snow,3.0,21/06/1921,,Ben Nevis,"Ben Nevis, Aonach Beag",1921.0,,6.0,21.0,"(56.796735, -5.002927)"
"Drifted snow filled all the eastern side of the march dyke, but there was very little anywhere else, only a few small patches here and there.","drifted, patches, snow",4.0,-/06/1921,,Lochnagar,Glas Maol,1921.0,,6.0,,"(56.954291, -3.244078)"
the most absorbing feature of interest was the fine south-eastern corrie of Glas Thulachan streaked with snow,"streaked, snow",6.0,-/06/1921,,Glenshee Area,Glas Tulaichean,1921.0,,6.0,,"(56.876858, -3.373544)"
the cornices were exceptionally heavy,cornice,6.0,Spring 1921,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1921.0,Spring,,,"(57.081248, -3.505238)"
fairly deep snow was encountered,"deep, snow",6.0,Spring 1921,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1921.0,Spring,,,"(57.081248, -3.505238)"
conditions there were found to be less severe than was anticipated. The wind had fallen considerably and the temperature was four degrees above freezing point. The north top was reached after a short walk over very hard snow and occasional ice.,"hard, snow, ice",6.0,Spring 1921,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1921.0,Spring,,,"(57.081248, -3.505238)"
T h e re   was  very little  snow  low  down.,"little, snow",2.0,Winter 1921,,Ben Macdui,Ben Macdui,1921.0,Winter,,,"(57.070696, -3.667715)"
it  was  completely  plastered  over  with  snow  a nd   ice.,"plastered, snow, ice",8.0,Winter 1921,,Ben Macdui,Ben Macdui,1921.0,Winter,,,"(57.070696, -3.667715)"
"More than anywhere on the whole Cairngorm range does the snow lie here—indeed, the corrie has never, within living memory, been entirely free of snow, even during the hottest summer.",snow,10.0,1921,This article written by Seton Gordon was published in the Jan 1921 journal but refers to midsummer snowpatch observations in an unknown year,Cairngorms Western Massif,Braeriach,1921.0,,,,"(57.066582, -3.732339)"
the gullies on the south side of the corrie offered some splendid snow climbs,snow,8.0,Spring 1921,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1921.0,Spring,,,"(57.081248, -3.505238)"
a snow shower had come on,snow,5.0,Spring 1921,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1921.0,Spring,,,"(57.081248, -3.505238)"
quite a number of the familiar accumulations of snow had entirely disappeared.,"snow, accumulations",1.0,Summer 1921,,Cairngorms Other,Cairngorms,1921.0,Summer,,,"(57.09969, -3.6656)"
"On a snow-field were the tracks of a fox, made when the sun still shone,—for now the snow was being bound in the grip of a black frost which had come to the hills with the dawn.","snow, frost",6.0,1921,This article written by Seton Gordon was published in the Jan 1921 journal but refers to midsummer snowpatch observations in an unknown year,Cairngorms Western Massif,Braeriach,1921.0,,,,"(57.066582, -3.732339)"
the very noticeable reduction of the number and mass of the snow-heaps ordinarily observable on the higher mountain tops all through summer.,"snow, heaps",2.0,Summer 1921,,Cairngorms Other,Cairngorms,1921.0,Summer,,,"(57.09969, -3.6656)"
"The snow-bunting hunts for insects where they have fallen, numbed, on the surface of some snow-field, or else amuses himself by running across the snow with head dowered and half-submerged beneath icy surface.","snow, icy",7.0,1921,This article written by Seton Gordon was published in the Jan 1921 journal but refers to midsummer snowpatch observations in an unknown year,Cairngorms Western Massif,Braeriach,1921.0,,,,"(57.066582, -3.732339)"
the patches of snow in the corries of Braeriach which almost invariably endure throughout the summer were also gone.,"snow, patches",1.0,Summer 1921,,Cairngorms Western Massif,Braeriach,1921.0,Summer,,,"(57.066582, -3.732339)"
"Much snow still lay in the corrie—indeed, its western side was still white almost as in midwinter, for the snow had been drifted in before many fierce winter gales.","snow, white, midwinter",8.0,1921,This article written by Seton Gordon was published in the Jan 1921 journal but refers to midsummer snowpatch observations in an unknown year,Cairngorms Western Massif,Braeriach,1921.0,,,,"(57.066582, -3.732339)"
"Even at this season of midsummer this great hill was almost entirely snow-clad, for were its summit but 600 feet higher it would be the home of eternal snows.","snow-clad, eternal snows",9.0,1921,This article written by Seton Gordon was published in the Jan 1921 journal but refers to midsummer snowpatch observations in an unknown year,Cairngorms Western Massif,Braeriach,1921.0,,,,"(57.066582, -3.732339)"
During the descent by the snowy corrie glissading was found impossible owing to the softness of the snow,"soft, snow",3.0,Spring 1921,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1921.0,Spring,,,"(57.081248, -3.505238)"
"the snow, being soft, required no step-cutting","soft, snow",4.0,Spring 1921,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1921.0,Spring,,,"(57.081248, -3.505238)"
"W h en  t he   s u m m it   plateau  was  r e a c h e d,   it  was  found  to  be  one  vast  snow-field,  a nd  the  glare  f r om   t he   snow  was  rather  troublesome;  those  who  possessed  snow-glasses  h e re   found  them   very  serviceable.","vast, snow-field, glare, snow-glasses",7.0,Winter 1921,,Ben Macdui,Ben Macdui,1921.0,Winter,,,"(57.070696, -3.667715)"
"Several patches of deep snow were met with, and some of the members descended a small one in quite good condition.","deep, good",8.0,01/01/1922,,Glenshee Area,Carn an t-Sagairt Mor,1922.0,,1.0,1.0,"(56.876858, -3.373544)"
"It was about two feet deep, and it was soft and yielding, and one had to walk very warily on the broken ground hereabouts.","deep, soft",5.0,01/01/1922,,Cairngorms Western Massif,Lairig Ghru,1922.0,,1.0,1.0,"(57.066582, -3.732339)"
"the drift being so heavy that at times it was impossible to see 15 yards ahead, and the reading of map, compass, and aneroid at rare intervals was a matter of great difficulty.",drift,3.0,01/01/1922,,Ben Macdui,Ben Macdui,1922.0,,1.0,1.0,"(57.070696, -3.667715)"
the climbers met with both falling and drifting snow.,"falling, drifting, snow",5.0,01/01/1922,,Ben Macdui,Ben Macdui,1922.0,,1.0,1.0,"(57.070696, -3.667715)"
"At every step I sank at least knee-deep, and very often waist-deep, among fast-melting mass, and the strain on the leg muscles was tremendous.","knee-deep, waist-deep, snow",2.0,01/01/1922,,Cairngorms Western Massif,Lairig Ghru,1922.0,,1.0,1.0,"(57.066582, -3.732339)"
"the earlier snow had for the most part come from the north, but I was now to find that there had been southerly storms in the beginning and middle of December, which had packed the snow into the head of Glen Dee to a considerable depth.","packed, snow",7.0,01/01/1922,,Cairngorms Western Massif,Lairig Ghru,1922.0,,1.0,1.0,"(57.066582, -3.732339)"
"A good many patches of snow remained, and the wind, more especially little rain.","patches, snow",4.0,01/01/1922,,Glenshee Area,Carn an t-Sagairt Mor,1922.0,,1.0,1.0,"(56.876858, -3.373544)"
"it was thought that the snow in the Slugan Glen, if not rendering the attempt impossible, would at least make it very tiresome.",snow,4.0,01/01/1922,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1922.0,,1.0,1.0,"(57.081248, -3.505238)"
"the snow in the Slugan Glen, if not rendering the attempt impossible, would at least make it very tiresome.",snow,3.0,01/01/1922,,Beinn a' Bhuird & Ben Avon,Beinn a'Bhuird,1922.0,,1.0,1.0,"(57.081248, -3.505238)"
"the weather was pretty rough with a very strong north-west wind and occasional snow showers, but seemed to be improving as the top of Cairn Toul was visible although Ben Muich Dhui was completely clouded over.",snow,6.0,01/01/1922,,Ben Macdui,Ben Macdui,1922.0,,1.0,1.0,"(57.070696, -3.667715)"
"I struck the snow. For some time previous it had been intermittent on the path, but from now onward it held complete possession everywhere.",snow,6.0,01/01/1922,,Cairngorms Western Massif,Lairig Ghru,1922.0,,1.0,1.0,"(57.066582, -3.732339)"
"the main party, on arriving at the edge of the plateau north-west of the buttress, divided into two sections. Messrs. Garden, G. P. Geddes, D. P. Levack, M. J. Robb, and Thomson descended the snow slope and reached the foot of the buttress in 20 minutes.",snow,5.0,01/01/1922,,Glenshee Area,Carn an t-Sagairt Mor,1922.0,,1.0,1.0,"(56.876858, -3.373544)"
"the weather conditions at Braemar very different from those in town. Frost prevailed, while snow lay at a depth, according to the Meteorological Observatory, of 8 inches.","snow, frost",7.0,01/01/1922,,Cairngorms Other,Braemar,1922.0,,1.0,1.0,"(57.09969, -3.6656)"
"when the corrie was reached, it was at once seen that little snow remained in the gullies although a good deal of blue ice was present.","snow, ice",3.0,01/01/1922,,Glenshee Area,Coire Loch Kander,1922.0,,1.0,1.0,"(56.876858, -3.373544)"
"they came to a gentle snow slope which occupied some forty minutes, as the snow was in poor climbing condition and the going stiff.","snow, poor",2.0,01/01/1922,,Glenshee Area,Carn an Tuirc,1922.0,,1.0,1.0,"(56.876858, -3.373544)"
"the sun was shining all around on the snow-covered hills, every one of which, with the exception of Lochnagar, was visible.",snow-covered,9.0,01/01/1922,,Glenshee Area,Carn an Tuirc,1922.0,,1.0,1.0,"(56.876858, -3.373544)"
"I plunged boldly into the snow-field, and for over an hour I had some of the most toilsome exercise to indulge.",snow-field,4.0,01/01/1922,,Cairngorms Western Massif,Lairig Ghru,1922.0,,1.0,1.0,"(57.066582, -3.732339)"
"The snow, despite the altitude which I had now reached, about 2,600 feet, remained as soft and unreliable as lower down, and every other step I took I broke through this covering.","soft, snow",3.0,01/01/1922,,Cairngorms Western Massif,Lairig Ghru,1922.0,,1.0,1.0,"(57.066582, -3.732339)"
the party chose a route near the gully which was full of soft snow. The climb was somewhat stiff work as the snow was very wet and in places knee-deep.,"soft, wet, knee-deep",4.0,01/01/1922,,Eastern Highlands,Morrone,1922.0,,1.0,1.0,"(57.194888, -3.281276)"
"the cairn (3194 feet), which was buried in snow, the western Glen Shee hills—Glas Thulachan, the Ben Uarns, etc. - showed up fine, with the distinctive little summit of Carn Bhinnein in the foreground.","buried, snow",6.0,19/04/1922,,Glenshee Area,Carn a'Gheoidh,1922.0,,4.0,19.0,"(56.876858, -3.373544)"
"the hot sun was rapidly melting the snow on the lower slopes, so the walking at first was rather wet, but higher up the frost held and we were able to proceed in comfort, cheered by the fine appearance of the eastern face of Carn nan Sac across the narrow glen on our left.","melting, snow, frost",4.0,19/04/1922,,Glenshee Area,Cairnwell,1922.0,,4.0,19.0,"(56.876858, -3.373544)"
"the summit was capped  by  a  bergschrund  and  cornice,",cornice,6.0,-/04/1922,,Cairngorms Other,Sgoran Dubh Mor,1922.0,,4.0,,"(57.09969, -3.6656)"
"deep  snow,  and  did  not  reach  the  summit  till  4  p.m.","deep, snow",5.0,-/04/1922,,Cairngorms Other,Cairngorm,1922.0,,4.0,,"(57.09969, -3.6656)"
"the blinding spindrift hid most  of  the  local  features, but this by no means damped  the  spirits  of  the  climbers, who seemed  to  glory  in being  caked  with  frozen  drift.",frozen,6.0,-/04/1922,,Cairngorms Other,Sgoran Dubh Mor,1922.0,,4.0,,"(57.09969, -3.6656)"
"there being  a great  deal  of  new  snow  on  the  hills,  and  walking  and  climbing  were found  to  be  very  laborious.","new, snow",4.0,-/04/1922,,Cairngorms Other,Cairngorms,1922.0,,4.0,,"(57.09969, -3.6656)"
"there being a great deal of new snow on the hills, and walking and climbing were found to be very laborious.","new, snow",3.0,-/04/1922,,Cairngorms Other,Cairngorms,1922.0,,4.0,,"(57.09969, -3.6656)"
"the rain turned into snow at night. On Sunday morning even the low ground was white, and an unusual depth of snow covered all the high hills.",snow,8.0,-/04/1922,,Cairngorms Other,Cairngorms,1922.0,,4.0,,"(57.09969, -3.6656)"
depth  of  snow  covered  all  the high  hills.,snow,8.0,-/04/1922,,Cairngorms Other,Cairngorms,1922.0,,4.0,,"(57.09969, -3.6656)"
"the driving road was completely closed  to  wheel traffic by  a  huge  snow-wreath, about  15  feet  high, which showed  a vertical  face  at the edge  of  the  stream.",snow,7.0,-/04/1922,,Cairngorms Other,Glen Eanaich,1922.0,,4.0,,"(57.09969, -3.6656)"
"a huge snow-wreath, about 15 feet high, which showed a vertical face at the edge of the stream.",snow,7.0,-/04/1922,,Cairngorms Other,Glen Eanaich,1922.0,,4.0,,"(57.09969, -3.6656)"
all Cairntoul  and  Sgoran Uaine looked  magnificent  with their  Alpine  mantle  of snow.,snow,9.0,-/04/1922,,Cairngorms Western Massif,"Cairn Toul, Sgor an Lochain Uaine",1922.0,,4.0,,"(57.066582, -3.732339)"
the blinding spindrift h,spindrift,5.0,-/04/1922,,Cairngorms Other,Sgoran Dubh Mor,1922.0,,4.0,,"(57.09969, -3.6656)"
